MMM 	 25 	 60 
ABT 	 5 	 20 
ABBV 	 15 	 55 
ABMD 	 10 	 15 
ACN 	 30 	 35 
ATVI 	 45 	 50 
ADBE 	 10 	 15 
AMD 	 30 	 35 
AAP 	 25 	 40 
AES 	 15 	 20 
AFL 	 50 	 65 
A 	 30 	 35 
APD 	 30 	 35 
AKAM 	 5 	 35 
ALK 	 20 	 35 
ALB 	 5 	 30 
ARE 	 5 	 40 
ALXN 	 30 	 35 
ALGN 	 45 	 50 
ALLE 	 30 	 40 
LNT 	 30 	 45 
ALL 	 5 	 10 
GOOGL 	 10 	 15 
GOOG 	 10 	 15 
MO 	 10 	 20 
AMZN 	 10 	 15 
AMCR 	 30 	 35 
AEE 	 10 	 20 
AAL 	 20 	 60 
AEP 	 20 	 25 
AXP 	 35 	 45 
AIG 	 25 	 30 
AMT 	 5 	 10 
AWK 	 10 	 20 
AMP 	 10 	 15 
ABC 	 30 	 35 
AME 	 30 	 50 
AMGN 	 15 	 40 
APH 	 30 	 40 
ADI 	 30 	 35 
ANSS 	 25 	 40 
ANTM 	 5 	 15 
AON 	 20 	 35 
AOS 	 5 	 15 
APA 	 30 	 35 
AIV 	 30 	 35 
AAPL 	 0 	 0 
AMAT 	 20 	 60 
APTV 	 0 	 0 
ADM 	 5 	 15 
ANET 	 35 	 50 
AJG 	 25 	 40 
AIZ 	 20 	 30 
T 	 15 	 20 
ATO 	 10 	 20 
ADSK 	 25 	 35 
ADP 	 30 	 40 
AZO 	 5 	 15 
AVB 	 20 	 50 
AVY 	 30 	 40 
BKR 	 0 	 0 
BLL 	 20 	 40 
BAC 	 35 	 40 
BK 	 35 	 40 
BAX 	 40 	 65 
BDX 	 20 	 40 
BRK.B 	 0 	 0 
BBY 	 10 	 15 
BIO 	 10 	 15 
BIIB 	 10 	 35 
BLK 	 25 	 40 
BA 	 10 	 75 
BKNG 	 10 	 25 
BWA 	 10 	 15 
BXP 	 25 	 85 
BSX 	 10 	 15 
BMY 	 45 	 50 
AVGO 	 5 	 55 
BR 	 5 	 10 
BF.B 	 0 	 0 
CHRW 	 30 	 35 
COG 	 10 	 55 
CDNS 	 45 	 50 
CPB 	 45 	 50 
COF 	 5 	 40 
CAH 	 15 	 40 
KMX 	 15 	 20 
CCL 	 30 	 35 
CARR 	 0 	 0 
CAT 	 30 	 35 
CBOE 	 30 	 55 
CBRE 	 30 	 50 
CDW 	 40 	 45 
CE 	 15 	 20 
CNC 	 5 	 15 
CNP 	 5 	 20 
CTL 	 5 	 20 
CERN 	 10 	 15 
CF 	 20 	 30 
SCHW 	 35 	 40 
CHTR 	 5 	 50 
CVX 	 15 	 45 
CMG 	 35 	 40 
CB 	 30 	 40 
CHD 	 5 	 35 
CI 	 35 	 40 
CINF 	 5 	 10 
CTAS 	 25 	 40 
CSCO 	 10 	 75 
C 	 25 	 30 
CFG 	 35 	 40 
CTXS 	 15 	 20 
CLX 	 5 	 10 
CME 	 5 	 60 
CMS 	 10 	 20 
KO 	 15 	 35 
CTSH 	 20 	 35 
CL 	 20 	 55 
CMCSA 	 15 	 65 
CMA 	 45 	 65 
CAG 	 0 	 0 
CXO 	 25 	 45 
COP 	 5 	 20 
ED 	 10 	 15 
STZ 	 0 	 0 
COO 	 30 	 35 
CPRT 	 10 	 35 
GLW 	 30 	 35 
CTVA 	 0 	 0 
COST 	 10 	 15 
COTY 	 0 	 0 
CCI 	 5 	 10 
CSX 	 20 	 45 
CMI 	 25 	 40 
CVS 	 25 	 45 
DHI 	 55 	 80 
DHR 	 15 	 45 
DRI 	 30 	 35 
DVA 	 5 	 15 
DE 	 10 	 60 
DAL 	 35 	 55 
XRAY 	 5 	 15 
DVN 	 0 	 0 
DXCM 	 30 	 35 
FANG 	 20 	 35 
DLR 	 5 	 10 
DFS 	 25 	 70 
DISCA 	 25 	 35 
DISCK 	 20 	 25 
DISH 	 30 	 35 
DG 	 5 	 40 
DLTR 	 5 	 20 
D 	 5 	 25 
DPZ 	 25 	 30 
DOV 	 30 	 40 
DOW 	 0 	 0 
DTE 	 40 	 45 
DUK 	 5 	 65 
DRE 	 35 	 50 
DD 	 30 	 35 
DXC 	 50 	 75 
ETFC 	 5 	 10 
EMN 	 10 	 25 
ETN 	 30 	 40 
EBAY 	 10 	 15 
ECL 	 20 	 60 
EIX 	 30 	 45 
EW 	 35 	 40 
EA 	 0 	 0 
EMR 	 45 	 55 
ETR 	 10 	 55 
EOG 	 20 	 25 
EFX 	 45 	 65 
EQIX 	 15 	 20 
EQR 	 15 	 20 
ESS 	 10 	 30 
EL 	 30 	 70 
EVRG 	 15 	 20 
ES 	 20 	 30 
RE 	 40 	 50 
EXC 	 25 	 30 
EXPE 	 5 	 10 
EXPD 	 35 	 40 
EXR 	 55 	 85 
XOM 	 5 	 20 
FFIV 	 15 	 20 
FB 	 5 	 10 
FAST 	 15 	 65 
FRT 	 30 	 40 
FDX 	 35 	 40 
FIS 	 30 	 35 
FITB 	 25 	 45 
FE 	 10 	 15 
FRC 	 35 	 40 
FISV 	 5 	 15 
FLT 	 30 	 35 
FLIR 	 45 	 70 
FLS 	 55 	 75 
FMC 	 10 	 15 
F 	 5 	 15 
FTNT 	 5 	 15 
FTV 	 35 	 50 
FBHS 	 0 	 0 
FOXA 	 0 	 0 
FOX 	 0 	 0 
BEN 	 5 	 55 
FCX 	 15 	 20 
GPS 	 10 	 35 
GRMN 	 5 	 20 
IT 	 30 	 35 
GD 	 30 	 35 
GE 	 20 	 25 
GIS 	 35 	 40 
GM 	 35 	 40 
GPC 	 20 	 40 
GILD 	 30 	 35 
GL 	 5 	 50 
GPN 	 5 	 75 
GS 	 5 	 60 
GWW 	 20 	 25 
HRB 	 20 	 45 
HAL 	 0 	 0 
HBI 	 25 	 30 
HIG 	 5 	 10 
HAS 	 25 	 30 
HCA 	 20 	 25 
PEAK 	 25 	 35 
HSIC 	 5 	 10 
HSY 	 5 	 10 
HES 	 30 	 35 
HPE 	 5 	 80 
HLT 	 30 	 35 
HFC 	 10 	 50 
HOLX 	 25 	 30 
HD 	 40 	 50 
HON 	 35 	 40 
HRL 	 5 	 30 
HST 	 5 	 35 
HWM 	 30 	 35 
HPQ 	 10 	 20 
HUM 	 5 	 35 
HBAN 	 30 	 35 
HII 	 35 	 60 
IEX 	 25 	 40 
IDXX 	 5 	 15 
INFO 	 25 	 40 
ITW 	 30 	 35 
ILMN 	 10 	 15 
INCY 	 30 	 45 
IR 	 25 	 35 
INTC 	 5 	 10 
ICE 	 15 	 40 
IBM 	 45 	 85 
IP 	 35 	 40 
IPG 	 30 	 35 
IFF 	 25 	 30 
INTU 	 10 	 15 
ISRG 	 15 	 20 
IVZ 	 30 	 40 
IPGP 	 10 	 20 
IQV 	 10 	 15 
IRM 	 5 	 30 
JKHY 	 55 	 60 
J 	 15 	 45 
JBHT 	 45 	 60 
SJM 	 35 	 75 
JNJ 	 30 	 35 
JCI 	 30 	 35 
JPM 	 5 	 35 
JNPR 	 10 	 20 
KSU 	 30 	 70 
K 	 55 	 60 
KEY 	 25 	 35 
KEYS 	 55 	 60 
KMB 	 25 	 85 
KIM 	 5 	 30 
KMI 	 10 	 15 
KLAC 	 20 	 40 
KSS 	 35 	 45 
KHC 	 0 	 0 
KR 	 5 	 10 
LB 	 5 	 15 
LHX 	 10 	 15 
LH 	 0 	 0 
LRCX 	 25 	 50 
LW 	 45 	 65 
LVS 	 5 	 10 
LEG 	 50 	 55 
LDOS 	 55 	 75 
LEN 	 10 	 15 
LLY 	 5 	 15 
LNC 	 25 	 35 
LIN 	 5 	 25 
LYV 	 15 	 45 
LKQ 	 10 	 30 
LMT 	 25 	 35 
L 	 25 	 35 
LOW 	 15 	 20 
LYB 	 25 	 35 
MTB 	 25 	 45 
MRO 	 40 	 75 
MPC 	 55 	 60 
MKTX 	 45 	 55 
MAR 	 35 	 40 
MMC 	 30 	 35 
MLM 	 15 	 70 
MAS 	 10 	 15 
MA 	 10 	 25 
MKC 	 10 	 15 
MXIM 	 30 	 35 
MCD 	 5 	 15 
MCK 	 25 	 35 
MDT 	 30 	 35 
MRK 	 5 	 10 
MET 	 25 	 30 
MTD 	 30 	 40 
MGM 	 5 	 15 
MCHP 	 20 	 25 
MU 	 25 	 30 
MSFT 	 10 	 25 
MAA 	 25 	 70 
MHK 	 0 	 0 
TAP 	 15 	 80 
MDLZ 	 15 	 40 
MNST 	 40 	 45 
MCO 	 20 	 25 
MS 	 35 	 40 
MOS 	 10 	 35 
MSI 	 15 	 20 
MSCI 	 25 	 40 
MYL 	 30 	 40 
NDAQ 	 15 	 45 
NOV 	 10 	 20 
NTAP 	 10 	 20 
NFLX 	 30 	 70 
NWL 	 35 	 40 
NEM 	 5 	 15 
NWSA 	 35 	 75 
NWS 	 55 	 80 
NEE 	 5 	 15 
NLSN 	 20 	 50 
NKE 	 10 	 15 
NI 	 15 	 20 
NBL 	 5 	 15 
NSC 	 30 	 35 
NTRS 	 5 	 30 
NOC 	 30 	 35 
NLOK 	 25 	 40 
NCLH 	 25 	 35 
NRG 	 5 	 45 
NUE 	 15 	 30 
NVDA 	 45 	 50 
NVR 	 10 	 30 
ORLY 	 5 	 10 
OXY 	 25 	 35 
ODFL 	 40 	 45 
OMC 	 5 	 75 
OKE 	 5 	 10 
ORCL 	 35 	 40 
OTIS 	 0 	 0 
PCAR 	 25 	 30 
PKG 	 30 	 40 
PH 	 30 	 35 
PAYX 	 25 	 35 
PAYC 	 55 	 80 
PYPL 	 5 	 30 
PNR 	 30 	 40 
PBCT 	 25 	 40 
PEP 	 15 	 45 
PKI 	 15 	 30 
PRGO 	 0 	 0 
PFE 	 15 	 25 
PM 	 45 	 50 
PSX 	 10 	 80 
PNW 	 10 	 20 
PXD 	 30 	 35 
PNC 	 30 	 40 
