MMM 	 25 	 60 
ABT 	 10 	 20 
ABBV 	 15 	 55 
ABMD 	 10 	 15 
ACN 	 30 	 35 
ATVI 	 45 	 50 
ADBE 	 10 	 15 
AMD 	 55 	 65 
AAP 	 30 	 45 
AES 	 15 	 20 
AFL 	 20 	 25 
A 	 30 	 35 
APD 	 30 	 35 
AKAM 	 10 	 20 
ALK 	 10 	 45 
ALB 	 5 	 40 
ARE 	 0 	 0 
ALXN 	 10 	 20 
ALGN 	 45 	 50 
ALLE 	 30 	 40 
LNT 	 5 	 10 
ALL 	 5 	 10 
GOOGL 	 10 	 15 
GOOG 	 10 	 15 
MO 	 10 	 20 
AMZN 	 5 	 15 
AMCR 	 35 	 45 
AEE 	 10 	 20 
AAL 	 20 	 70 
AEP 	 10 	 15 
AXP 	 35 	 45 
AIG 	 5 	 30 
AMT 	 25 	 75 
AWK 	 10 	 20 
AMP 	 10 	 15 
ABC 	 20 	 30 
AME 	 25 	 40 
AMGN 	 20 	 25 
APH 	 30 	 40 
ADI 	 10 	 20 
ANSS 	 25 	 40 
ANTM 	 5 	 15 
AON 	 25 	 30 
AOS 	 5 	 15 
APA 	 0 	 0 
AIV 	 5 	 45 
AAPL 	 15 	 20 
AMAT 	 25 	 30 
APTV 	 0 	 0 
ADM 	 5 	 15 
ANET 	 10 	 20 
AJG 	 25 	 40 
AIZ 	 5 	 50 
T 	 10 	 15 
ATO 	 5 	 15 
ADSK 	 25 	 35 
ADP 	 30 	 40 
AZO 	 5 	 25 
AVB 	 25 	 45 
AVY 	 20 	 40 
BKR 	 0 	 0 
BLL 	 20 	 25 
BAC 	 10 	 15 
BK 	 20 	 55 
BAX 	 55 	 60 
BDX 	 20 	 40 
BRK.B 	 0 	 0 
BBY 	 10 	 15 
BIO 	 10 	 15 
BIIB 	 10 	 35 
BLK 	 25 	 40 
BA 	 10 	 80 
BKNG 	 10 	 25 
BWA 	 10 	 15 
BXP 	 30 	 60 
BSX 	 10 	 20 
BMY 	 45 	 60 
AVGO 	 5 	 55 
BR 	 5 	 10 
BF.B 	 0 	 0 
CHRW 	 30 	 35 
COG 	 10 	 55 
CDNS 	 35 	 40 
CPB 	 40 	 45 
COF 	 0 	 0 
CAH 	 10 	 15 
KMX 	 5 	 10 
CCL 	 35 	 40 
CARR 	 0 	 0 
CAT 	 25 	 35 
CBOE 	 30 	 55 
CBRE 	 5 	 20 
CDW 	 15 	 25 
CE 	 15 	 20 
CNC 	 5 	 15 
CNP 	 5 	 20 
CTL 	 5 	 20 
CERN 	 10 	 20 
CF 	 10 	 15 
SCHW 	 20 	 25 
CHTR 	 5 	 50 
CVX 	 15 	 45 
CMG 	 20 	 25 
CB 	 10 	 15 
CHD 	 5 	 10 
CI 	 5 	 25 
CINF 	 5 	 10 
CTAS 	 25 	 30 
CSCO 	 10 	 20 
C 	 0 	 0 
CFG 	 0 	 0 
CTXS 	 15 	 20 
CLX 	 15 	 25 
CME 	 10 	 45 
CMS 	 10 	 20 
KO 	 15 	 35 
CTSH 	 10 	 20 
CL 	 25 	 50 
CMCSA 	 15 	 65 
CMA 	 5 	 10 
CAG 	 0 	 0 
CXO 	 25 	 45 
COP 	 45 	 50 
ED 	 10 	 15 
STZ 	 0 	 0 
COO 	 20 	 25 
CPRT 	 15 	 25 
GLW 	 30 	 35 
CTVA 	 0 	 0 
COST 	 10 	 15 
COTY 	 0 	 0 
CCI 	 5 	 10 
CSX 	 20 	 45 
CMI 	 25 	 40 
CVS 	 25 	 45 
DHI 	 55 	 80 
DHR 	 15 	 50 
DRI 	 30 	 35 
DVA 	 5 	 40 
DE 	 25 	 35 
DAL 	 35 	 55 
XRAY 	 5 	 15 
DVN 	 0 	 0 
DXCM 	 5 	 15 
FANG 	 20 	 35 
DLR 	 5 	 10 
DFS 	 5 	 10 
DISCA 	 10 	 30 
DISCK 	 20 	 25 
DISH 	 30 	 35 
DG 	 30 	 45 
DLTR 	 40 	 55 
D 	 5 	 25 
DPZ 	 10 	 20 
DOV 	 30 	 40 
DOW 	 0 	 0 
DTE 	 10 	 20 
DUK 	 40 	 50 
DRE 	 5 	 15 
DD 	 30 	 40 
DXC 	 0 	 0 
ETFC 	 25 	 35 
EMN 	 10 	 20 
ETN 	 30 	 40 
EBAY 	 10 	 15 
ECL 	 20 	 60 
EIX 	 20 	 35 
EW 	 35 	 50 
EA 	 0 	 0 
EMR 	 5 	 20 
ETR 	 10 	 55 
EOG 	 40 	 45 
EFX 	 45 	 75 
EQIX 	 15 	 20 
EQR 	 10 	 15 
ESS 	 10 	 30 
EL 	 30 	 55 
EVRG 	 15 	 20 
ES 	 25 	 30 
RE 	 40 	 50 
EXC 	 10 	 20 
EXPE 	 15 	 40 
EXPD 	 35 	 45 
EXR 	 55 	 60 
XOM 	 25 	 30 
FFIV 	 15 	 20 
FB 	 5 	 10 
FAST 	 25 	 60 
FRT 	 30 	 35 
FDX 	 0 	 0 
FIS 	 10 	 15 
FITB 	 0 	 0 
FE 	 10 	 15 
FRC 	 25 	 60 
FISV 	 5 	 15 
FLT 	 30 	 60 
FLIR 	 45 	 70 
FLS 	 50 	 55 
FMC 	 10 	 15 
F 	 0 	 0 
FTNT 	 5 	 15 
FTV 	 5 	 15 
FBHS 	 0 	 0 
FOXA 	 0 	 0 
FOX 	 0 	 0 
BEN 	 35 	 55 
FCX 	 15 	 20 
GPS 	 15 	 30 
GRMN 	 5 	 20 
IT 	 30 	 35 
GD 	 30 	 35 
GE 	 0 	 0 
GIS 	 35 	 40 
GM 	 55 	 60 
GPC 	 20 	 40 
GILD 	 0 	 0 
GL 	 5 	 30 
GPN 	 5 	 25 
GS 	 10 	 20 
GWW 	 5 	 10 
HRB 	 40 	 50 
HAL 	 0 	 0 
HBI 	 0 	 0 
HIG 	 10 	 15 
HAS 	 5 	 10 
HCA 	 15 	 55 
PEAK 	 5 	 20 
HSIC 	 20 	 25 
HSY 	 5 	 20 
HES 	 30 	 35 
HPE 	 15 	 20 
HLT 	 30 	 35 
HFC 	 0 	 0 
HOLX 	 5 	 75 
HD 	 35 	 40 
HON 	 35 	 40 
HRL 	 25 	 35 
HST 	 0 	 0 
HWM 	 30 	 40 
HPQ 	 10 	 20 
HUM 	 0 	 0 
HBAN 	 25 	 45 
HII 	 35 	 60 
IEX 	 25 	 40 
IDXX 	 5 	 15 
INFO 	 25 	 40 
ITW 	 30 	 45 
ILMN 	 10 	 20 
INCY 	 5 	 70 
IR 	 10 	 15 
INTC 	 10 	 20 
ICE 	 15 	 50 
IBM 	 0 	 0 
IP 	 35 	 40 
IPG 	 30 	 35 
IFF 	 25 	 30 
INTU 	 10 	 15 
ISRG 	 10 	 25 
IVZ 	 0 	 0 
IPGP 	 10 	 20 
IQV 	 10 	 15 
IRM 	 5 	 10 
JKHY 	 55 	 65 
J 	 10 	 30 
JBHT 	 30 	 60 
SJM 	 40 	 50 
JNJ 	 30 	 35 
JCI 	 35 	 65 
JPM 	 5 	 35 
JNPR 	 10 	 20 
KSU 	 0 	 0 
K 	 55 	 60 
KEY 	 0 	 0 
KEYS 	 5 	 10 
KMB 	 25 	 85 
KIM 	 5 	 20 
KMI 	 5 	 30 
KLAC 	 25 	 30 
KSS 	 35 	 45 
KHC 	 0 	 0 
KR 	 45 	 50 
LB 	 55 	 75 
LHX 	 10 	 15 
LH 	 0 	 0 
LRCX 	 35 	 40 
LW 	 55 	 60 
LVS 	 0 	 0 
LEG 	 50 	 55 
LDOS 	 35 	 80 
LEN 	 10 	 15 
LLY 	 5 	 35 
LNC 	 5 	 30 
LIN 	 5 	 25 
LYV 	 20 	 40 
LKQ 	 0 	 0 
LMT 	 25 	 35 
L 	 25 	 35 
LOW 	 45 	 50 
LYB 	 0 	 0 
MTB 	 5 	 10 
MRO 	 40 	 75 
MPC 	 55 	 60 
MKTX 	 45 	 55 
MAR 	 35 	 40 
MMC 	 20 	 85 
MLM 	 0 	 0 
MAS 	 0 	 0 
MA 	 5 	 20 
MKC 	 45 	 85 
MXIM 	 30 	 40 
MCD 	 10 	 35 
MCK 	 10 	 15 
MDT 	 10 	 15 
MRK 	 15 	 20 
MET 	 25 	 30 
MTD 	 25 	 60 
MGM 	 5 	 15 
MCHP 	 20 	 25 
MU 	 5 	 20 
MSFT 	 10 	 25 
MAA 	 10 	 20 
MHK 	 0 	 0 
TAP 	 15 	 80 
MDLZ 	 35 	 50 
MNST 	 30 	 35 
MCO 	 20 	 35 
MS 	 10 	 20 
MOS 	 25 	 30 
MSI 	 15 	 20 
MSCI 	 5 	 10 
MYL 	 20 	 25 
NDAQ 	 20 	 25 
NOV 	 0 	 0 
NTAP 	 10 	 20 
NFLX 	 5 	 15 
NWL 	 35 	 40 
NEM 	 5 	 15 
NWSA 	 35 	 75 
NWS 	 55 	 80 
NEE 	 5 	 15 
NLSN 	 20 	 50 
NKE 	 10 	 15 
NI 	 15 	 20 
NBL 	 0 	 0 
NSC 	 25 	 40 
NTRS 	 5 	 25 
NOC 	 30 	 35 
NLOK 	 35 	 50 
NCLH 	 25 	 35 
NRG 	 10 	 15 
NUE 	 0 	 0 
NVDA 	 0 	 0 
NVR 	 10 	 30 
ORLY 	 5 	 10 
OXY 	 25 	 35 
ODFL 	 30 	 50 
OMC 	 5 	 85 
OKE 	 5 	 10 
ORCL 	 10 	 25 
OTIS 	 0 	 0 
PCAR 	 40 	 50 
PKG 	 30 	 40 
PH 	 30 	 35 
PAYX 	 25 	 35 
PAYC 	 5 	 10 
PYPL 	 5 	 30 
PNR 	 30 	 40 
PBCT 	 25 	 30 
PEP 	 15 	 45 
PKI 	 15 	 30 
PRGO 	 0 	 0 
PFE 	 10 	 15 
PM 	 45 	 55 
PSX 	 0 	 0 
